date,station,volume,mark,price,payment
2020-01-05 09:40:28,B,56.0,Super,2.0,112.0
2020-01-05 12:01:41,B,35.5,Super,2.0,71.0
2020-01-05 14:22:54,C,36.7,Super,2.0,73.4
2020-01-05 16:44:07,B,10.1,Regular,1.76,17.78
2020-01-05 19:05:20,C,16.0,Super,2.0,32.0
2020-01-05 21:26:33,C,24.0,Regular,1.76,42.24
2020-01-05 23:47:46,A,25.4,Super,2.0,50.8
2020-01-06 02:08:59,C,20.8,Premium,1.83,38.06
2020-01-06 04:30:12,A,5.0,Premium,1.83,9.15
2020-01-06 06:51:25,C,5.0,Regular,1.76,8.8
2020-01-06 09:12:38,C,31.7,Premium,1.83,58.01
2020-01-06 11:33:51,A,37.0,Regular,1.76,65.12
2020-01-06 13:55:04,A,18.9,Regular,1.76,33.26
2020-01-06 16:16:17,C,30.5,Premium,1.83,55.82
2020-01-06 18:37:30,B,11.8,Regular,1.76,20.77
2020-01-06 20:58:43,A,12.1,Premium,1.83,22.14
2020-01-06 23:19:56,B,10.8,Super,2.0,21.6
2020-01-07 01:41:09,B,13.8,Super,2.0,27.6
2020-01-07 04:02:22,B,32.6,Premium,1.83,59.66
2020-01-07 06:23:35,A,11.4,Premium,1.83,20.86
2020-01-07 08:44:48,B,50.9,Premium,1.83,93.15
2020-01-07 11:06:01,A,24.6,Premium,1.83,45.02
2020-01-07 13:27:14,B,37.0,Super,2.0,74.0
2020-01-07 15:48:27,C,22.4,Regular,1.76,39.42
2020-01-07 18:09:40,C,28.9,Regular,1.76,50.86
2020-01-07 20:30:53,A,11.3,Super,2.0,22.6
2020-01-07 22:52:06,C,31.0,Regular,1.76,54.56
2020-01-08 01:13:19,C,19.3,Super,2.0,38.6
2020-01-08 03:34:32,B,38.5,Regular,1.76,67.76
2020-01-08 05:55:45,A,5.6,Premium,1.83,10.25
2020-01-08 08:16:58,B,26.2,Premium,1.83,47.95
2020-01-08 10:38:11,B,25.8,Premium,1.83,47.21
2020-01-08 12:59:24,B,16.6,Super,2.0,33.2
2020-01-08 15:20:37,B,27.7,Super,2.0,55.4
2020-01-08 17:41:50,B,42.5,Regular,1.76,74.8
2020-01-08 20:03:03,B,15.6,Regular,1.76,27.46
2020-01-08 22:24:16,B,35.5,Regular,1.76,62.48
2020-01-09 00:45:29,A,8.7,Super,2.0,17.4
2020-01-09 03:06:42,C,37.0,Regular,1.76,65.12
2020-01-09 05:27:55,B,33.4,Premium,1.83,61.12
2020-01-09 07:49:08,B,44.8,Regular,1.76,78.85
2020-01-09 10:10:21,B,32.0,Premium,1.83,58.56
2020-01-09 12:31:34,B,28.7,Super,2.0,57.4
2020-01-09 14:52:47,B,33.5,Premium,1.83,61.3
2020-01-09 17:14:00,B,22.3,Premium,1.83,40.81
2020-01-09 19:35:13,C,5.0,Premium,1.83,9.15
2020-01-09 21:56:26,C,22.0,Super,2.0,44.0
2020-01-10 00:17:39,B,14.9,Super,2.0,29.8
2020-01-10 02:38:52,C,8.1,Super,2.0,16.2
2020-01-10 05:00:05,A,26.4,Super,2.0,52.8
2020-01-10 07:21:18,B,20.6,Regular,1.76,36.26
2020-01-10 09:42:31,A,30.3,Super,2.0,60.6
2020-01-10 12:03:44,A,12.1,Premium,1.83,22.14
2020-01-10 14:24:57,B,18.4,Super,2.0,36.8
2020-01-10 16:46:10,C,28.4,Regular,1.76,49.98
2020-01-10 19:07:23,A,22.8,Regular,1.76,40.13
2020-01-10 21:28:36,B,6.2,Regular,1.76,10.91
2020-01-10 23:49:49,A,22.6,Premium,1.83,41.36
2020-01-11 02:11:02,A,34.8,Super,2.0,69.6
2020-01-11 04:32:15,A,15.2,Super,2.0,30.4
2020-01-11 06:53:28,A,26.0,Super,2.0,52.0
2020-01-11 09:14:41,C,10.4,Premium,1.83,19.03
2020-01-11 11:35:54,A,18.6,Premium,1.83,34.04
2020-01-11 13:57:07,A,30.9,Regular,1.76,54.38
2020-01-11 16:18:20,A,22.2,Regular,1.76,39.07
2020-01-11 18:39:33,C,29.6,Super,2.0,59.2
2020-01-11 21:00:46,A,24.3,Premium,1.83,44.47
2020-01-11 23:21:59,A,42.2,Premium,1.83,77.23
2020-01-12 01:43:12,C,5.0,Super,2.0,10.0
2020-01-12 04:04:25,C,16.0,Super,2.0,32.0
2020-01-12 06:25:38,C,8.3,Regular,1.76,14.61
2020-01-12 08:46:51,A,9.8,Regular,1.76,17.25
2020-01-12 11:08:04,C,8.9,Regular,1.76,15.66
2020-01-12 13:29:17,C,19.5,Super,2.0,39.0
2020-01-12 15:50:30,A,22.3,Super,2.0,44.6
2020-01-12 18:11:43,C,21.9,Regular,1.76,38.54
2020-01-12 20:32:56,A,8.8,Regular,1.76,15.49
2020-01-12 22:54:09,B,20.2,Premium,1.83,36.97
2020-01-13 01:15:22,C,9.4,Premium,1.83,17.2
2020-01-13 03:36:35,B,35.3,Regular,1.76,62.13
2020-01-13 05:57:48,A,11.3,Regular,1.76,19.89
2020-01-13 08:19:01,C,16.1,Premium,1.83,29.46
2020-01-13 10:40:14,A,25.6,Regular,1.76,45.06
2020-01-13 13:01:27,B,16.6,Premium,1.83,30.38
2020-01-13 15:22:40,A,26.9,Premium,1.83,49.23
2020-01-13 17:43:53,C,32.4,Premium,1.83,59.29
2020-01-13 20:05:06,C,19.7,Super,2.0,39.4
2020-01-13 22:26:19,B,34.8,Super,2.0,69.6
2020-01-14 00:47:32,A,5.0,Regular,1.76,8.8
2020-01-14 03:08:45,C,14.1,Premium,1.83,25.8
2020-01-14 05:29:58,B,26.2,Super,2.0,52.4
2020-01-14 07:51:11,C,8.6,Regular,1.76,15.14
2020-01-14 10:12:24,C,19.9,Regular,1.76,35.02
2020-01-14 12:33:37,A,30.6,Regular,1.76,53.86
2020-01-14 14:54:50,C,5.0,Regular,1.76,8.8
2020-01-14 17:16:03,A,8.1,Regular,1.76,14.26
2020-01-14 19:37:16,C,19.6,Premium,1.83,35.87
2020-01-14 21:58:29,B,29.5,Regular,1.76,51.92
2020-01-15 00:19:42,C,24.7,Premium,1.83,45.2
2020-01-15 02:40:55,A,21.1,Super,2.0,42.2
2020-01-15 05:02:08,A,24.6,Regular,1.76,43.3
2020-01-15 07:23:21,B,34.8,Super,2.0,69.6
2020-01-15 09:44:34,C,14.3,Premium,1.83,26.17
2020-01-15 12:05:47,C,12.5,Premium,1.83,22.88
2020-01-15 14:27:00,B,22.0,Super,2.0,44.0
2020-01-15 16:48:13,C,19.8,Regular,1.76,34.85
2020-01-15 19:09:26,C,12.1,Regular,1.76,21.3
2020-01-15 21:30:39,A,16.1,Super,2.0,32.2
2020-01-15 23:51:52,C,21.6,Super,2.0,43.2
2020-01-16 02:13:05,C,19.4,Super,2.0,38.8
2020-01-16 04:34:18,B,21.7,Regular,1.76,38.19
2020-01-16 06:55:31,B,5.0,Regular,1.76,8.8
2020-01-16 09:16:44,A,20.0,Regular,1.76,35.2
2020-01-16 11:37:57,C,9.3,Super,2.0,18.6
2020-01-16 13:59:10,C,26.8,Regular,1.76,47.17
2020-01-16 16:20:23,C,15.2,Premium,1.83,27.82
2020-01-16 18:41:36,A,10.0,Super,2.0,20.0
2020-01-16 21:02:49,A,19.4,Regular,1.76,34.14
2020-01-16 23:24:02,B,39.2,Super,2.0,78.4
2020-01-17 01:45:15,A,26.3,Premium,1.83,48.13
2020-01-17 04:06:28,C,20.0,Premium,1.83,36.6
2020-01-17 06:27:41,C,6.0,Super,2.0,12.0
2020-01-17 08:48:54,A,36.2,Super,2.0,72.4
2020-01-17 11:10:07,C,12.4,Premium,1.83,22.69
2020-01-17 13:31:20,C,26.4,Super,2.0,52.8
2020-01-17 15:52:33,A,16.7,Premium,1.83,30.56
2020-01-17 18:13:46,A,28.4,Premium,1.83,51.97
2020-01-17 20:34:59,C,29.8,Regular,1.76,52.45
2020-01-17 22:56:12,C,23.8,Super,2.0,47.6
2020-01-18 01:17:25,C,24.8,Super,2.0,49.6
2020-01-18 03:38:38,B,22.8,Regular,1.76,40.13
2020-01-18 05:59:51,B,18.8,Premium,1.83,34.4
2020-01-18 08:21:04,B,25.7,Super,2.0,51.4
2020-01-18 10:42:17,A,16.6,Regular,1.76,29.22
2020-01-18 13:03:30,B,53.6,Regular,1.76,94.34
2020-01-18 15:24:43,A,10.1,Super,2.0,20.2
2020-01-18 17:45:56,A,30.0,Regular,1.76,52.8
2020-01-18 20:07:09,B,30.2,Premium,1.83,55.27
2020-01-18 22:28:22,B,26.8,Regular,1.76,47.17
2020-01-19 00:49:35,B,41.8,Premium,1.83,76.49
2020-01-19 03:10:48,C,20.7,Premium,1.83,37.88
2020-01-19 05:32:01,B,16.4,Super,2.0,32.8
2020-01-19 07:53:14,C,20.6,Regular,1.76,36.26
2020-01-19 10:14:27,A,18.2,Premium,1.83,33.31
2020-01-19 12:35:40,C,22.5,Premium,1.83,41.18
2020-01-19 14:56:53,B,33.7,Regular,1.76,59.31
2020-01-19 17:18:06,A,11.4,Premium,1.83,20.86
2020-01-19 19:39:19,A,32.0,Regular,1.76,56.32
2020-01-19 22:00:32,A,17.5,Super,2.0,35.0
2020-01-20 00:21:45,C,22.0,Premium,1.83,40.26
2020-01-20 02:42:58,B,31.4,Premium,1.83,57.46
2020-01-20 05:04:11,A,23.7,Regular,1.76,41.71
2020-01-20 07:25:24,A,18.9,Regular,1.76,33.26
2020-01-20 09:46:37,A,15.1,Regular,1.76,26.58
2020-01-20 12:07:50,C,15.6,Regular,1.76,27.46
2020-01-20 14:29:03,C,32.1,Premium,1.83,58.74
2020-01-20 16:50:16,B,13.6,Super,2.0,27.2
2020-01-20 19:11:29,C,11.5,Super,2.0,23.0
2020-01-20 21:32:42,A,12.4,Super,2.0,24.8
2020-01-20 23:53:55,B,25.7,Super,2.0,51.4
2020-01-21 02:15:08,A,5.0,Regular,1.76,8.8
2020-01-21 04:36:21,A,6.5,Premium,1.83,11.9
2020-01-21 06:57:34,C,15.7,Premium,1.83,28.73
2020-01-21 09:18:47,B,8.5,Premium,1.83,15.56
2020-01-21 11:40:00,C,7.1,Regular,1.76,12.5
2020-01-21 14:01:13,C,6.5,Premium,1.83,11.9
2020-01-21 16:22:26,B,13.8,Regular,1.76,24.29
2020-01-21 18:43:39,A,27.3,Premium,1.83,49.96
2020-01-21 21:04:52,A,29.6,Super,2.0,59.2
2020-01-21 23:26:05,B,47.0,Regular,1.76,82.72
2020-01-22 01:47:18,A,38.8,Premium,1.83,71.0
2020-01-22 04:08:31,B,33.5,Super,2.0,67.0
2020-01-22 06:29:44,B,36.4,Super,2.0,72.8
2020-01-22 08:50:57,C,19.2,Super,2.0,38.4
2020-01-22 11:12:10,B,30.2,Regular,1.76,53.15
2020-01-22 13:33:23,C,35.5,Regular,1.76,62.48
2020-01-22 15:54:36,A,23.7,Premium,1.83,43.37
2020-01-22 18:15:49,A,31.5,Super,2.0,63.0
2020-01-22 20:37:02,A,10.7,Premium,1.83,19.58
2020-01-22 22:58:15,A,13.3,Premium,1.83,24.34
2020-01-23 01:19:28,C,20.8,Super,2.0,41.6
2020-01-23 03:40:41,A,21.5,Premium,1.83,39.34
2020-01-23 06:01:54,B,16.6,Regular,1.76,29.22
2020-01-23 08:23:07,B,52.9,Premium,1.83,96.81
2020-01-23 10:44:20,B,26.0,Super,2.0,52.0
2020-01-23 13:05:33,C,14.0,Regular,1.76,24.64
2020-01-23 15:26:46,A,21.5,Regular,1.76,37.84
2020-01-23 17:47:59,A,20.3,Premium,1.83,37.15
2020-01-23 20:09:12,A,21.9,Premium,1.83,40.08
2020-01-23 22:30:25,C,5.0,Regular,1.76,8.8
2020-01-24 00:51:38,B,39.5,Premium,1.83,72.28
2020-01-24 03:12:51,B,40.2,Super,2.0,80.4
2020-01-24 05:34:04,A,34.7,Premium,1.83,63.5
2020-01-24 07:55:17,B,28.0,Premium,1.83,51.24
2020-01-24 10:16:30,B,31.9,Regular,1.76,56.14
2020-01-24 12:37:43,C,10.2,Premium,1.83,18.67
2020-01-24 14:58:56,C,25.5,Premium,1.83,46.66
2020-01-24 17:20:09,C,20.2,Premium,1.83,36.97
2020-01-24 19:41:22,C,13.9,Super,2.0,27.8
2020-01-24 22:02:35,A,28.6,Premium,1.83,52.34
2020-01-25 00:23:48,C,26.1,Super,2.0,52.2
2020-01-25 02:45:01,B,24.7,Super,2.0,49.4
2020-01-25 05:06:14,A,24.4,Super,2.0,48.8
2020-01-25 07:27:27,B,11.6,Super,2.0,23.2
2020-01-25 09:48:40,B,38.9,Regular,1.76,68.46
2020-01-25 12:09:53,B,13.2,Super,2.0,26.4
2020-01-25 14:31:06,C,11.6,Premium,1.83,21.23
2020-01-25 16:52:19,C,18.5,Super,2.0,37.0
2020-01-25 19:13:32,A,31.1,Premium,1.83,56.91
2020-01-25 21:34:45,A,31.1,Super,2.0,62.2
2020-01-25 23:55:58,C,18.0,Regular,1.76,31.68
2020-01-26 02:17:11,B,33.2,Super,2.0,66.4
2020-01-26 04:38:24,A,5.0,Super,2.0,10.0
2020-01-26 06:59:37,C,11.5,Regular,1.76,20.24
2020-01-26 09:20:50,C,11.7,Super,2.0,23.4
2020-01-26 11:42:03,C,29.2,Premium,1.83,53.44
2020-01-26 14:03:16,B,31.8,Super,2.0,63.6
2020-01-26 16:24:29,C,19.6,Super,2.0,39.2
2020-01-26 18:45:42,C,20.5,Super,2.0,41.0
2020-01-26 21:06:55,C,32.1,Regular,1.76,56.5
2020-01-26 23:28:08,C,16.5,Super,2.0,33.0
2020-01-27 01:49:21,A,6.9,Super,2.0,13.8
2020-01-27 04:10:34,A,30.9,Premium,1.83,56.55
2020-01-27 06:31:47,C,19.6,Super,2.0,39.2
2020-01-27 08:53:00,B,35.4,Super,2.0,70.8
2020-01-27 11:14:13,A,19.6,Super,2.0,39.2
2020-01-27 13:35:26,C,10.4,Super,2.0,20.8
2020-01-27 15:56:39,A,24.0,Premium,1.83,43.92
2020-01-27 18:17:52,A,20.1,Premium,1.83,36.78
2020-01-27 20:39:05,B,26.2,Regular,1.76,46.11
2020-01-27 23:00:18,C,32.6,Super,2.0,65.2
2020-01-28 01:21:31,C,8.1,Regular,1.76,14.26
2020-01-28 03:42:44,B,27.5,Regular,1.76,48.4
2020-01-28 06:03:57,B,14.2,Super,2.0,28.4
2020-01-28 08:25:10,C,5.0,Premium,1.83,9.15
2020-01-28 10:46:23,C,17.6,Premium,1.83,32.21
2020-01-28 13:07:36,B,24.4,Super,2.0,48.8
2020-01-28 15:28:49,A,26.2,Super,2.0,52.4
2020-01-28 17:50:02,A,17.8,Premium,1.83,32.57
2020-01-28 20:11:15,B,6.1,Super,2.0,12.2
2020-01-28 22:32:28,A,11.8,Super,2.0,23.6
2020-01-29 00:53:41,B,39.8,Super,2.0,79.6
2020-01-29 03:14:54,A,11.6,Premium,1.83,21.23
2020-01-29 05:36:07,A,35.8,Regular,1.76,63.01
2020-01-29 07:57:20,C,27.4,Regular,1.76,48.22
2020-01-29 10:18:33,C,15.1,Super,2.0,30.2
2020-01-29 12:39:46,A,12.7,Premium,1.83,23.24
2020-01-29 15:00:59,A,30.5,Super,2.0,61.0
2020-01-29 17:22:12,C,15.8,Premium,1.83,28.91
2020-01-29 19:43:25,C,5.0,Super,2.0,10.0
2020-01-29 22:04:38,C,23.0,Premium,1.83,42.09
2020-01-30 00:25:51,B,29.0,Premium,1.83,53.07
2020-01-30 02:47:04,A,31.4,Regular,1.76,55.26
2020-01-30 05:08:17,C,21.2,Super,2.0,42.4
2020-01-30 07:29:30,A,14.5,Regular,1.76,25.52
2020-01-30 09:50:43,B,39.2,Regular,1.76,68.99
2020-01-30 12:11:56,B,40.4,Premium,1.83,73.93
2020-01-30 14:33:09,C,20.1,Super,2.0,40.2
2020-01-30 16:54:22,B,24.7,Premium,1.83,45.2
2020-01-30 19:15:35,A,6.8,Premium,1.83,12.44
2020-01-30 21:36:48,C,12.5,Premium,1.83,22.88
2020-01-30 23:58:01,A,27.6,Super,2.0,55.2
2020-01-31 02:19:14,A,14.4,Super,2.0,28.8
2020-01-31 04:40:27,B,6.5,Premium,1.83,11.9
2020-01-31 07:01:40,B,66.0,Super,2.0,132.0
2020-01-31 09:22:53,B,6.5,Premium,1.83,11.9
2020-01-31 11:44:06,B,51.1,Super,2.0,102.2
2020-01-31 14:05:19,B,20.3,Super,2.0,40.6
2020-01-31 16:26:32,C,17.3,Regular,1.76,30.45
2020-01-31 18:47:45,A,13.3,Premium,1.83,24.34
2020-01-31 21:08:58,A,27.8,Regular,1.76,48.93
2020-01-31 23:30:11,A,5.6,Regular,1.76,9.86
2020-02-01 01:51:24,A,5.0,Premium,1.84,9.2
2020-02-01 04:12:37,B,43.3,Premium,1.84,79.67
2020-02-01 06:33:50,A,12.0,Super,2.01,24.12
2020-02-01 08:55:03,C,24.8,Premium,1.84,45.63
2020-02-01 11:16:16,C,8.2,Regular,1.77,14.51
2020-02-01 13:37:29,A,27.1,Regular,1.77,47.97
2020-02-01 15:58:42,A,36.8,Premium,1.84,67.71
2020-02-01 18:19:55,C,13.2,Regular,1.77,23.36
2020-02-01 20:41:08,C,5.0,Super,2.01,10.05
2020-02-01 23:02:21,B,44.3,Regular,1.77,78.41
2020-02-02 01:23:34,C,26.4,Super,2.01,53.06
2020-02-02 03:44:47,B,18.4,Regular,1.77,32.57
2020-02-02 06:06:00,B,21.4,Super,2.01,43.01
2020-02-02 08:27:13,B,10.7,Super,2.01,21.51
2020-02-02 10:48:26,B,41.0,Premium,1.84,75.44
2020-02-02 13:09:39,B,17.6,Super,2.01,35.38
2020-02-02 15:30:52,A,5.8,Premium,1.84,10.67
2020-02-02 17:52:05,C,19.9,Regular,1.77,35.22
2020-02-02 20:13:18,B,13.7,Regular,1.77,24.25
2020-02-02 22:34:31,C,8.7,Regular,1.77,15.4
2020-02-03 00:55:44,C,14.1,Super,2.01,28.34
2020-02-03 03:16:57,B,25.1,Regular,1.77,44.43
2020-02-03 05:38:10,A,6.2,Regular,1.77,10.97
2020-02-03 07:59:23,B,40.7,Premium,1.84,74.89
2020-02-03 10:20:36,A,26.8,Premium,1.84,49.31
2020-02-03 12:41:49,C,14.7,Regular,1.77,26.02
2020-02-03 15:03:02,A,11.0,Regular,1.77,19.47
2020-02-03 17:24:15,A,19.1,Super,2.01,38.39
2020-02-03 19:45:28,A,29.0,Super,2.01,58.29
2020-02-03 22:06:41,C,24.7,Regular,1.77,43.72
2020-02-04 00:27:54,C,27.5,Premium,1.84,50.6
2020-02-04 02:49:07,A,15.2,Regular,1.77,26.9
2020-02-04 05:10:20,A,5.0,Super,2.01,10.05
2020-02-04 07:31:33,B,39.0,Premium,1.84,71.76
2020-02-04 09:52:46,A,18.3,Premium,1.84,33.67
2020-02-04 12:13:59,B,32.0,Super,2.01,64.32
2020-02-04 14:35:12,A,36.7,Regular,1.77,64.96
2020-02-04 16:56:25,B,53.2,Regular,1.77,94.16
2020-02-04 19:17:38,C,12.2,Regular,1.77,21.59
2020-02-04 21:38:51,A,21.3,Super,2.01,42.81
2020-02-05 00:00:04,A,33.7,Premium,1.84,62.01
2020-02-05 02:21:17,A,11.6,Super,2.01,23.32
2020-02-05 04:42:30,A,14.2,Regular,1.77,25.13
2020-02-05 07:03:43,B,16.9,Super,2.01,33.97
2020-02-05 09:24:56,A,19.7,Premium,1.84,36.25
2020-02-05 11:46:09,C,16.0,Super,2.01,32.16
2020-02-05 14:07:22,C,12.7,Regular,1.77,22.48
2020-02-05 16:28:35,A,10.3,Premium,1.84,18.95
2020-02-05 18:49:48,C,25.3,Super,2.01,50.85
2020-02-05 21:11:01,A,33.4,Super,2.01,67.13
2020-02-05 23:32:14,A,34.8,Premium,1.84,64.03
2020-02-06 01:53:27,C,13.7,Premium,1.84,25.21
2020-02-06 04:14:40,A,28.5,Regular,1.77,50.44
2020-02-06 06:35:53,C,20.2,Premium,1.84,37.17
2020-02-06 08:57:06,B,17.2,Regular,1.77,30.44
2020-02-06 11:18:19,A,27.3,Super,2.01,54.87
2020-02-06 13:39:32,B,16.6,Regular,1.77,29.38
2020-02-06 16:00:45,C,14.6,Super,2.01,29.35
2020-02-06 18:21:58,B,7.4,Premium,1.84,13.62
2020-02-06 20:43:11,B,18.5,Super,2.01,37.18
2020-02-06 23:04:24,C,20.2,Premium,1.84,37.17
2020-02-07 01:25:37,B,42.8,Super,2.01,86.03
2020-02-07 03:46:50,B,19.8,Super,2.01,39.8
2020-02-07 06:08:03,C,8.6,Super,2.01,17.29
2020-02-07 08:29:16,B,42.0,Super,2.01,84.42
2020-02-07 10:50:29,C,13.5,Regular,1.77,23.9
2020-02-07 13:11:42,B,5.0,Super,2.01,10.05
2020-02-07 15:32:55,C,19.2,Regular,1.77,33.98
2020-02-07 17:54:08,C,15.1,Premium,1.84,27.78
2020-02-07 20:15:21,B,51.6,Premium,1.84,94.94
2020-02-07 22:36:34,B,29.8,Regular,1.77,52.75
2020-02-08 00:57:47,B,22.2,Premium,1.84,40.85
2020-02-08 03:19:00,A,10.8,Premium,1.84,19.87
2020-02-08 05:40:13,A,23.3,Super,2.01,46.83
2020-02-08 08:01:26,A,34.6,Super,2.01,69.55
2020-02-08 10:22:39,C,20.8,Super,2.01,41.81
2020-02-08 12:43:52,B,13.8,Regular,1.77,24.43
2020-02-08 15:05:05,C,22.9,Regular,1.77,40.53
2020-02-08 17:26:18,A,19.5,Premium,1.84,35.88
2020-02-08 19:47:31,B,29.4,Super,2.01,59.09
2020-02-08 22:08:44,C,14.8,Regular,1.77,26.2
2020-02-09 00:29:57,B,19.4,Regular,1.77,34.34
2020-02-09 02:51:10,C,14.2,Super,2.01,28.54
2020-02-09 05:12:23,B,35.3,Regular,1.77,62.48
2020-02-09 07:33:36,A,16.3,Super,2.01,32.76
2020-02-09 09:54:49,A,15.4,Premium,1.84,28.34
2020-02-09 12:16:02,B,12.7,Premium,1.84,23.37
2020-02-09 14:37:15,C,22.0,Premium,1.84,40.48
2020-02-09 16:58:28,A,23.1,Super,2.01,46.43
2020-02-09 19:19:41,A,15.5,Regular,1.77,27.44
2020-02-09 21:40:54,A,12.9,Premium,1.84,23.74
2020-02-10 00:02:07,B,46.6,Premium,1.84,85.74
2020-02-10 02:23:20,B,5.0,Premium,1.84,9.2
2020-02-10 04:44:33,C,22.4,Regular,1.77,39.65
2020-02-10 07:05:46,C,29.6,Regular,1.77,52.39
2020-02-10 09:26:59,C,5.0,Super,2.01,10.05
2020-02-10 11:48:12,B,33.5,Premium,1.84,61.64
2020-02-10 14:09:25,B,21.4,Regular,1.77,37.88
2020-02-10 16:30:38,C,20.3,Super,2.01,40.8
2020-02-10 18:51:51,C,15.1,Premium,1.84,27.78
2020-02-10 21:13:04,B,37.0,Regular,1.77,65.49
2020-02-10 23:34:17,C,21.2,Regular,1.77,37.52
2020-02-11 01:55:30,A,21.3,Super,2.01,42.81
2020-02-11 04:16:43,B,13.2,Premium,1.84,24.29
2020-02-11 06:37:56,C,34.9,Premium,1.84,64.22
2020-02-11 08:59:09,B,24.1,Regular,1.77,42.66
2020-02-11 11:20:22,A,42.9,Premium,1.84,78.94
2020-02-11 13:41:35,B,47.2,Super,2.01,94.87
2020-02-11 16:02:48,B,5.0,Regular,1.77,8.85
2020-02-11 18:24:01,B,16.2,Regular,1.77,28.67
2020-02-11 20:45:14,B,11.5,Super,2.01,23.12
2020-02-11 23:06:27,A,19.5,Regular,1.77,34.52
2020-02-12 01:27:40,B,26.3,Premium,1.84,48.39
2020-02-12 03:48:53,B,26.8,Premium,1.84,49.31
2020-02-12 06:10:06,C,27.4,Regular,1.77,48.5
2020-02-12 08:31:19,B,41.9,Super,2.01,84.22
2020-02-12 10:52:32,C,26.7,Super,2.01,53.67
2020-02-12 13:13:45,A,14.4,Premium,1.84,26.5
2020-02-12 15:34:58,A,12.2,Super,2.01,24.52
2020-02-12 17:56:11,A,20.0,Regular,1.77,35.4
2020-02-12 20:17:24,A,24.3,Regular,1.77,43.01
2020-02-12 22:38:37,C,16.4,Premium,1.84,30.18
2020-02-13 00:59:50,B,7.8,Premium,1.84,14.35
2020-02-13 03:21:03,A,26.8,Premium,1.84,49.31
2020-02-13 05:42:16,B,19.3,Super,2.01,38.79
2020-02-13 08:03:29,C,14.2,Regular,1.77,25.13
2020-02-13 10:24:42,C,17.6,Regular,1.77,31.15
2020-02-13 12:45:55,C,15.8,Regular,1.77,27.97
2020-02-13 15:07:08,A,16.3,Premium,1.84,29.99
2020-02-13 17:28:21,B,8.6,Regular,1.77,15.22
2020-02-13 19:49:34,B,22.7,Super,2.01,45.63
2020-02-13 22:10:47,B,32.4,Super,2.01,65.12
2020-02-14 00:32:00,C,20.3,Regular,1.77,35.93
2020-02-14 02:53:13,A,29.5,Premium,1.84,54.28
2020-02-14 05:14:26,C,11.4,Regular,1.77,20.18
2020-02-14 07:35:39,C,6.5,Super,2.01,13.06
2020-02-14 09:56:52,B,21.0,Super,2.01,42.21
2020-02-14 12:18:05,C,12.5,Super,2.01,25.12
2020-02-14 14:39:18,B,17.9,Regular,1.77,31.68
2020-02-14 17:00:31,A,22.1,Super,2.01,44.42
2020-02-14 19:21:44,B,18.0,Premium,1.84,33.12
2020-02-14 21:42:57,A,7.5,Regular,1.77,13.28
2020-02-15 00:04:10,B,17.3,Regular,1.77,30.62
2020-02-15 02:25:23,C,21.1,Super,2.01,42.41
2020-02-15 04:46:36,C,24.0,Super,2.01,48.24
2020-02-15 07:07:49,A,26.6,Premium,1.84,48.94
2020-02-15 09:29:02,A,24.2,Regular,1.77,42.83
2020-02-15 11:50:15,A,18.3,Super,2.01,36.78
2020-02-15 14:11:28,B,28.8,Premium,1.84,52.99
2020-02-15 16:32:41,B,23.5,Super,2.01,47.23
2020-02-15 18:53:54,A,21.1,Regular,1.77,37.35
